Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_156,ee,312.50,34.85,86.07,34.10,38.39,34.10,0.75,937.50,5.51,29.35,1.00
Bd_157,oh,312.50,45.47,185.47,46.35,45.47,46.35,-0.88,1000.00,27.42,18.05,1.00
Bd_157,ee,281.25,33.27,93.75,36.06,35.32,36.06,-2.80,906.25,-7.84,41.10,1.00
Bd_158,A,375.00,47.52,125.00,49.10,53.38,-2.22,49.74,984.38,25.43,22.10,1.00
Bd_158,oh,500.00,47.45,178.51,43.38,45.84,34.51,12.94,875.00,26.30,21.15,1.00
Bd_158,A,312.50,48.21,156.25,49.35,50.59,16.43,31.78,906.25,28.42,19.78,1.00
Bd_16,aa,765.63,1.32,156.25,17.65,6.44,17.65,-16.33,1000.00,0.54,0.78,1.00
Bd_16,aa,500.00,20.88,156.25,18.60,20.55,-1.77,22.65,906.25,-2.18,23.06,1.00
Bd_16,oh,375.00,42.11,125.00,42.44,43.94,35.74,6.37,937.50,16.56,25.55,1.00
Bd_160,A,375.00,42.14,134.15,44.71,49.63,36.17,5.97,1000.00,24.80,17.33,1.00
Bd_160,aa,437.50,48.56,156.25,45.97,47.47,23.18,25.38,937.50,27.39,21.17,1.00
Bd_162,i,312.50,29.06,187.50,41.70,32.62,41.70,-12.65,875.00,8.62,20.43,1.00
Bd_162,aa,562.50,42.46,187.50,43.42,42.56,46.13,-3.67,875.00,27.86,14.60,1.00
Bd_163,A,1140.63,4.22,140.63,5.96,5.92,13.83,-9.61,906.25,-1.48,5.69,1.00
Bd_163,A,343.75,31.64,155.14,36.64,29.30,36.64,-5.00,875.00,17.83,13.80,1.00
Bd_163,A,609.38,16.48,171.88,34.95,28.10,34.95,-18.47,937.50,13.78,2.69,1.00
Bd_163,aa,406.25,36.20,156.25,43.18,33.92,43.81,-7.61,906.25,25.94,10.26,1.00
