FFlename,Segment_label,BegFnnFng,End,F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1,,
chan_0131,F,2.1,2.25,468.4867259,578.125,9.303738323,140.625,18.66944924,14.19848654,21.32966699,-12.02592867,890.625,12.340728,-3.036989674,390.625,45.52088251,125,41.05427423,41.44854461,5.348021867,40.17286065,906.25,17.90687478,27.61400773,343.75,24.20102928,125,41.88180087,45.27371738,-2.322026115,26.5230554,890.625,9.430292975,14.77073631,m,NV
chan_0132,B,3.6,3.66,642.6546766,437.5,39.49201973,156.25,39.88104891,41.02888415,19.1813865,20.31063323,906.25,16.79027907,22.70174065,468.75,48.22985003,156.25,41.67338432,43.04534097,15.6643173,32.56553273,906.25,16.48319001,31.74666002,437.5,47.4216219,156.25,42.27517367,42.39437096,12.80941165,34.61221025,906.25,11.5182648,35.9033571,m,NV
chan_0133,F,2.92,2.97,502.6234292,312.5,31.53906725,156.25,36.44374618,32.98973618,36.44374618,-4.904678938,875,9.628088634,21.91097861,312.5,25.34706329,155.1881718,34.3723364,26.84025144,34.3723364,-9.025273114,875,-0.016703822,25.363767112,343.75,20.93296259,156.25,32.49841871,26.45432655,32.49992098,-11.56695839,968.75,3.009289448,17.92367315,m,NV
chan_0134,B,1.07,1.12,565.9479851,656.25,7.409272029,156.25,13.58370124,14.1105628,2.733108839,4.67616319,1000,3.969160307,3.440111723,484.375,14.07950253,156.25,14.40392762,11.45202187,14.40392762,-0.324425091,1015.625,-1.928542072,16.008044602,421.875,-3.495955262,156.25,13.38852936,6.65989276,13.38852936,-16.88448462,968.75,-8.731225094,5.235269832,m,NV
chan_0135,F,0.66,0.74,371.544331,625,47.55649589,156.25,44.51092309,42.3836609,47.55649589,0,937.5,35.98208686,11.57440904,781.25,48.08863652,156.25,44.67934822,41.39049227,48.08863652,0,937.5,38.7098758,9.37876072,781.25,48.67199462,156.25,44.33816078,40.95887234,48.67199462,0,937.5,35.54537088,13.12662373,m,NV
chan_0136,F,0.97,1.04,346.7049896,625,47.05706867,156.25,44.02828427,41.67955621,47.05706867,0,921.875,34.9116611,12.14540757,765.625,47.46194163,156.25,43.52054675,40.91230008,47.46194163,0,921.875,32.38018448,15.08175715,625,44.75799156,156.25,42.92508928,39.30877251,44.75799156,0,921.875,27.20721484,17.55077672,m,NV
chan_0139,B,1.56,1.63,726.4924807,187.5,4.136220379,125,25.10877445,17.54392343,25.10877445,-20.97255407,968.75,-4.672547036,8.808767414,531.25,10.42042115,125,16.52866787,10.15960786,16.61560093,-6.195179788,968.75,0.839185786,9.581235364,312.5,10.65298049,125,30.4280018,13.45631754,30.4280018,-19.77502131,1000,-0.356899643,11.00988014,m,NV
chan_0139,F,8.22,8.33,357.7885107,312.5,35.39509909,156.25,35.00408358,36.80399885,11.11311722,24.28198187,968.75,-4.421865836,39.81696493,312.5,41.05478025,156.25,39.8178461,42.07313267,8.028782266,33.02599798,875,8.082125325,32.972654925,312.5,35.61048117,156.25,37.18307476,36.77811429,37.18307476,-1.572593591,875,2.190877139,33.41960403,m,NV
chan_0143,B,1.36,1.46,576.5164555,312.5,41.00754689,156.25,44.20562728,41.00754689,44.20562728,-3.198080389,937.5,13.38934751,27.61819938,343.75,24.82664614,156.25,42.11518371,39.63460803,42.11518371,-17.28853757,875,16.7089248,8.11772134,375,30.28556545,125,41.12065291,38.97908479,41.12065291,-10.83508746,906.25,4.415095124,25.87047033,m,NV
chan_0143,B,2.33,2.42,669.0886988,312.5,30.92785153,125,37.9278635,26.75376574,37.9278635,-7.000011967,937.5,0.720762254,30.20708928,312.5,27.02968654,125,36.23298861,28.77661401,36.23298861,-9.203302072,1000,-10.01937079,37.04905733,312.5,22.70623362,133.3502346,32.91373622,22.70623362,32.91373622,-10.2075026,937.5,-9.850001201,32.55623482,m,NV
