Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1
abd_10,A,1.64,1.72,654.0672181,375,59.59027933,187.5,52.2302461,59.59027933,11.64750846,47.94277087,906.25,26.81459666,32.77568268,718.75,23.76212361,187.5,8.073925361,14.49935914,10.2325073,13.52961632,937.5,7.46180216,16.30032145,625,12.74287438,187.5,15.63184346,5.589503573,18.96863936,-6.225764979,968.75,0.465261372,12.27761301
abd_10,k,1.72,1.8,613.2116957,406.25,45.04388566,187.5,45.6760238,45.04388566,45.6760238,-0.632138135,968.75,22.10503171,22.93885395,515.625,54.99533996,171.875,53.43532011,57.23260455,0.771055347,54.22428461,875,29.44432473,25.55101522,406.25,38.11002806,187.5,51.38106673,55.66657361,12.4818117,25.62821636,906.25,31.92072853,6.189299529
abd_10,ee,1.8,1.94,387.4251523,281.25,25.54988193,171.875,47.5977959,39.49709935,47.5977959,-22.04791398,890.625,23.45178546,2.098096463,437.5,56.67657411,218.75,47.28013569,56.67657411,2.713396926,53.96317718,843.75,31.92206819,24.75450592,375,36.49119901,218.75,42.04290229,34.92746457,42.07985602,-5.588657009,937.5,7.982941521,28.50825749
abd_10,rr,1.94,2.01,390.0392707,734.375,48.96543882,140.625,49.29879286,53.25401635,10.85797223,38.1074666,890.625,35.6829192,13.28251962,296.875,49.69221729,140.625,48.23310546,49.69221729,10.54519329,39.147024,890.625,29.61085289,20.0813644,406.25,35.56610843,140.625,49.91591044,52.15004222,0.018227435,35.54788099,1000,28.9642992,6.601809225
abd_10,m,2.01,2.13,273.9001988,437.5,40.50059596,156.25,43.53622489,41.94408256,43.53622489,-3.035628924,906.25,28.17890769,12.32168828,593.75,50.7569287,156.25,48.53478811,52.03608219,3.382298728,47.37462998,906.25,47.95995197,2.796976733,609.375,57.22647161,156.25,49.18566991,49.52928771,2.618157177,54.60831443,937.5,42.41014889,14.81632272
abd_10,aa,2.13,2.25,704.0914509,250,25.06003223,143.2646643,37.99950407,30.90718696,37.99950407,-12.93947184,937.5,2.607480982,22.45255125,468.75,50.49027265,156.25,46.9025358,50.51180008,16.87896907,33.61130358,1000,28.69595834,21.79431431,406.25,25.48682815,156.25,41.9912699,34.26298886,41.9912699,-16.50444176,875,11.52291539,13.96391276
abd_10,rr,2.25,2.31,482.7107563,343.75,55.05498238,171.875,48.16809827,55.05498238,7.872201426,47.18278095,1031.25,20.65066364,34.40431874,250,29.571348,176.166747,37.53444596,29.52053635,37.53444596,-7.963097955,875,4.238708409,25.3326396,250,32.50970018,184.6159315,37.81608688,28.164214,37.81608688,-5.306386696,937.5,6.832778434,25.67692175
abd_10,g,2.31,2.35,264.6215685,546.875,13.18698,187.5,22.73371959,16.12916948,22.73371959,-9.546739591,937.5,1.361799213,11.82518078,375,57.31298441,187.5,49.7176107,57.31298441,7.741605514,49.57137889,921.875,29.71454261,27.5984418,390.625,57.10706099,187.5,50.06382527,57.10706099,9.758622357,47.34843863,953.125,24.2142584,32.89280259
abd_10,ee,2.35,2.46,354.6494398,515.625,49.60624019,171.875,54.70645733,49.15131108,54.70645733,-5.100217132,875,26.52498816,23.08125203,984.375,23.9243462,203.125,18.09501594,22.38490059,12.40743069,11.51691551,984.375,23.9243462,0,843.75,26.38157885,187.5,19.65704947,22.5458933,23.76931605,2.612262803,859.375,25.29887816,1.082700694
abd_10,kh,2.46,2.61,532.0620335,187.5,44.04060805,156.25,47.75475627,32.7647836,47.75475627,-3.714148219,1000,14.18894527,29.85166278,500,51.54342888,171.875,53.49537129,54.61920973,1.002357971,50.54107091,984.375,41.07809938,10.46532949,500,54.00258138,171.875,53.71048998,54.19543683,5.396751502,48.60582988,1031.25,34.95019119,19.0523902
abd_10,^oh,2.61,2.74,542.1831609,218.75,37.41203235,156.25,47.13507672,37.55091614,47.13507672,-9.72304437,1000,7.831533043,29.58049931,218.75,16.52283059,156.25,45.8696466,33.49317607,45.8696466,-29.34681601,937.5,8.569096102,7.953734485,281.25,32.95357607,156.25,49.75424103,41.44443634,49.75424103,-16.80066495,1000,10.89889807,22.054678
abd_10,j,2.74,2.83,196.8499561,343.75,51.26549146,156.25,53.00200929,51.26549146,53.00200929,-1.736517835,1000,25.18848681,26.07700465,250,32.6867229,156.25,49.58408738,42.99293057,49.58408738,-16.89736449,937.5,9.13905842,23.54766448,281.25,34.18888961,156.25,52.9012577,47.43498184,52.9012577,-18.71236809,875,18.03759903,16.15129058
abd_10,n,2.83,2.9,231.3372326,468.75,47.81905045,156.25,51.39941611,52.74415286,6.674021795,41.14502865,968.75,21.96927687,25.84977357,343.75,51.54464077,156.25,51.91194915,51.54464077,51.91194915,-0.367308377,1000,22.90164203,28.64299874,375,45.41413988,156.25,50.87908095,52.43626267,15.41934671,29.99479317,1000,18.67717643,26.73696345
abd_10,i,2.9,2.98,326.3089534,265.625,30.57597236,140.625,31.66010414,30.78827173,31.66010414,-1.084131775,921.875,-13.39627598,43.97224835,500,53.11455013,156.25,51.18939815,51.85485398,4.600641685,48.51390845,968.75,27.78923398,25.32531615,437.5,50.49027241,156.25,50.42438909,52.02108066,10.09661919,40.39365322,968.75,22.4358278,28.05444461
abd_10,ee,2.98,3.07,436.9386136,437.5,39.58292328,156.25,46.28827121,40.83826827,46.28827121,-6.705347928,906.25,17.87708308,21.70584021,968.75,4.487470802,140.625,14.21384995,11.25948775,26.65001047,-22.16253967,968.75,4.487470802,0,828.125,12.07935855,140.625,14.49942435,20.9348709,21.99149648,-9.91213793,984.375,5.514981142,6.564377404
abd_10,chh,3.07,3.18,287.4824983,234.375,46.14268458,109.375,43.3981082,50.60484925,11.63075924,34.51192533,953.125,15.2802908,30.86239377,531.25,47.42530021,125,46.34054757,49.80844323,30.63946098,16.78583923,906.25,25.98548776,21.43981244,593.75,40.7106588,125,43.29835948,47.62317132,34.03416543,6.676493372,937.5,20.25045901,20.4601998
abd_10,ee,3.18,3.25,413.0520067,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341,218.75,37.50176649,93.75,39.45914309,46.12380404,6.896951746,30.60481475,984.375,-0.776375415,38.27814191,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341
abd_10,n,3.25,3.39,253.1393999,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341
abd_10,sil,3.43,3.61,690.8559269,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341,187.5,39.31582286,93.75,35.3145503,39.31582286,6.585075447,32.73074741,968.75,-4.737370548,44.05319341
abd_100,sil,0,0.16,748.23527,187.5,44.62491679,156.25,44.67792967,24.26008264,44.67792967,-0.053012885,968.75,9.974852073,34.65006472,328.125,56.87255265,171.875,49.59197502,56.87255265,8.341727779,48.53082487,875,16.50868051,40.36387215,343.75,55.6035642,171.875,55.52096266,55.6035642,11.49688901,44.1066752,875,34.51722712,21.08633708
abd_100,u,0.16,0.3,790.6490331,343.75,20.84031732,171.875,20.56837222,20.84031732,24.54826301,-3.707945687,875,-10.50183058,31.3421479,718.75,-1.266101851,156.25,36.70650931,27.15241562,36.70650931,-37.97261116,875,-3.188101794,1.921999943,875,9.53840035,156.25,37.6724747,26.71535397,39.89968491,-30.36128456,875,9.53840035,0
abd_100,Th,0.3,0.35,195.7413482,406.25,61.91647851,203.125,53.11287662,61.91647851,22.95515554,38.96132297,1031.25,23.76479273,38.15168578,593.75,-3.528246583,171.875,17.41225944,4.481155967,17.41225944,-20.94050603,875,-6.546835513,3.01858893,1046.875,1.609208063,187.5,10.95758164,10.51104615,10.95758164,-9.348373581,1031.25,0.330766971,1.278441091
abd_100,tt,0.35,0.46,331.9188805,437.5,49.29530906,234.375,35.67780979,49.29530906,17.04410598,32.25120307,937.5,13.27596159,36.01934747,390.625,63.274382,203.125,49.89291597,63.274382,-0.46584805,63.74023005,984.375,33.47669764,29.79768436,390.625,57.90548529,203.125,45.79926524,57.90548529,5.912910339,51.99257495,984.375,29.47693198,28.42855331
abd_100,ee,0.46,0.59,405.1516817,187.5,43.83322661,187.5,43.83322661,21.9385068,43.83322661,0,1000,6.939827615,36.893399,375,54.81129025,187.5,46.26336865,54.81129025,6.837204179,47.97408608,859.375,27.87521748,26.93607278,359.375,55.48172406,187.5,53.35625644,55.48172406,9.134708627,46.34701543,921.875,26.89221647,28.5895076
abd_100,u,0.59,0.76,443.7766432,375,14.58950934,187.5,17.06720925,14.58950934,18.50491308,-3.915403737,1015.625,-8.174875322,22.76438466,187.5,41.6166202,187.5,41.6166202,2.665305415,41.6166202,0,937.5,-7.095805502,48.7124257,250,41.77068088,187.5,44.417902,34.44208937,44.417902,-2.647221114,1000,8.310931015,33.45974987
abd_100,Th,0.76,0.8,193.7847201,343.75,38.35189608,156.25,52.29025894,58.5531647,7.039891953,31.31200413,929.6875,25.25356527,13.09833081,375,17.19170407,187.5,18.81563406,17.19170407,18.81563406,-1.623929996,921.875,-9.26168525,26.45338932,718.75,0.865251873,156.25,-1.229253496,11.73377192,1.30512175,-0.439869877,906.25,1.060509015,-0.195257142
abd_100,tt,0.8,0.94,377.329411,562.5,-8.839362043,187.5,-7.329048566,-4.470152288,-17.86086314,9.021501098,1031.25,-20.59977836,11.76041632,476.5625,54.3406962,156.25,49.76876017,55.18981479,1.327316448,53.01337975,945.3125,19.64529078,34.69540542,445.3125,50.08487257,234.375,48.45641817,50.08487257,-0.041806599,50.12667917,968.75,18.49849866,31.58637391
abd_100,ee,0.94,1.17,381.1869645,312.5,49.26970188,156.25,44.97104173,49.26970188,26.98136986,22.28833202,937.5,9.907139916,39.36256196,531.25,-5.934994132,187.5,-7.59783812,-18.26474157,-3.01081916,-2.924174972,1000,-17.21459885,11.27960472,531.25,-0.14563905,156.25,16.65632916,10.25589472,16.85551638,-17.00115543,1000,-16.59515703,16.44951798
abd_100,p,1.39,1.44,595.0178747,328.125,21.86646088,156.25,18.08251655,21.86646088,11.63893563,10.22752525,906.25,-10.66289208,32.52935296,312.5,53.45938442,156.25,47.08710805,53.45938442,17.1895647,36.26981972,937.5,13.51532508,39.94405934,250,22.17927461,156.25,47.81952462,40.77071342,47.81952462,-25.64025001,937.5,4.333204967,17.84606964
